Crash Breakdown,Crash Breakdown 2,Crash Severity,Cross Street Full Name,Cyclist Flag,Date Of Loss Year,Day Of Week,Derived Crash Congifuration,Heavy Veh Flag,Intersection Crash,Mid Block Crash,Month Of Year,Motorcycle Flag,Municipality Name,Municipality Name (ifnull),Municipality With Boundary,Parking Lot Flag,Pedestrian Flag,Region,Road Location Description,Street Full Name,Street Full Name (ifnull),Time Category,Crash Count,Latitude,Longitude,Number of Records
FRIDAY,SURREY,PROPERTY DAMAGE ONLY,60 AVE,Yes,2016,FRIDAY,UNDETERMINED,N,Yes,N,APRIL,N,SURREY,SURREY,SURREY,No,No,LOWER MAINLAND,128 ST & 60 AVE,128 ST,128 ST,18:00-20:59,1,49.111809,-122.867838,1
THURSDAY,LANGLEY,CASUALTY,49A AVE,Yes,2019,THURSDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,205A ST & 49A AVE,205A ST,205A ST,06:00-08:59,1,49.092702,-122.653718,1
FRIDAY,DELTA,CASUALTY,48B ST,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,DELTA,DELTA,DELTA,No,No,LOWER MAINLAND,47 AVE & 48B ST,47 AVE,47 AVE,15:00-17:59,1,49.08833,-123.088705,1
MONDAY,LANGLEY,CASUALTY,48 AVE,Yes,2018,MONDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,216 ST & 48 AVE & OLD YALE RD,216 ST,216 ST,12:00-14:59,1,49.089417,-122.624744,1
TUESDAY,ABBOTSFORD,PROPERTY DAMAGE ONLY,NA,Yes,2016,TUESDAY,SINGLE VEHICLE,N,No,Y,JULY,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,Yes,No,LOWER MAINLAND,SHADBOLT AVE,SHADBOLT AVE,SHADBOLT AVE,15:00-17:59,1,49.080076,-122.226126,1
TUESDAY,LANGLEY,CASUALTY,NA,Yes,2016,TUESDAY,SINGLE VEHICLE,Y,No,N,MAY,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,FRASER HWY,FRASER HWY,FRASER HWY,15:00-17:59,1,49.087398,-122.595865,1
MONDAY,VANCOUVER,CASUALTY,E 15TH AVE,Yes,2018,MONDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CAROLINA ST & E 15TH AVE & KINGSWAY,CAROLINA ST,CAROLINA ST,15:00-17:59,1,49.257326,-123.091813,1
TUESDAY,VANCOUVER,CASUALTY,NANAIMO ST,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,GRANDVIEW HWY N & NANAIMO ST,GRANDVIEW HWY N,GRANDVIEW HWY N,15:00-17:59,1,49.258468,-123.056617,1
TUESDAY,VANCOUVER,CASUALTY,HEATHER ST,Yes,2015,TUESDAY,UNDETERMINED,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HEATHER ST & W 13TH AVE,W 13TH AVE,W 13TH AVE,15:00-17:59,1,49.259526,-123.119989,1
FRIDAY,VANCOUVER,CASUALTY,E 12TH AVE,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,COMMERCIAL DR & E 12TH AVE,COMMERCIAL DR,COMMERCIAL DR,09:00-11:59,1,49.259588,-123.069846,1
SUNDAY,MAPLE RIDGE,CASUALTY,123 AVE,Yes,2018,SUNDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,No,No,LOWER MAINLAND,123 AVE & LAITY ST,LAITY ST,LAITY ST,09:00-11:59,1,49.226323,-122.631801,1
FRIDAY,VANCOUVER,PROPERTY DAMAGE ONLY,GLEN DR,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 16TH AVE & GLEN DR,E 16TH AVE,E 16TH AVE,15:00-17:59,1,49.256302,-123.081706,1
FRIDAY,VANCOUVER,CASUALTY,COLUMBIA ST,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 5TH AVE,W 5TH AVE,W 5TH AVE,12:00-14:59,1,49.266577,-123.109451,1
WEDNESDAY,VANCOUVER,CASUALTY,COLUMBIA ST,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 5TH AVE,W 5TH AVE,W 5TH AVE,00:00-02:59,1,49.266577,-123.109451,1
THURSDAY,VANCOUVER,CASUALTY,BRUNSWICK ST,Yes,2017,THURSDAY,SIDE IMPACT,N,Yes,N,FEBRUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BRUNSWICK ST & E 2ND AVE & GREAT NORTHERN WAY,E 2ND AVE,E 2ND AVE,06:00-08:59,1,49.266741,-123.096256,1
MONDAY,VANCOUVER,CASUALTY,LOCARNO CRES,Yes,2017,MONDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,LOCARNO CRES & NW MARINE DR,NW MARINE DR,NW MARINE DR,18:00-20:59,1,49.268994,-123.201678,1
WEDNESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,COLUMBIA ST,Yes,2018,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 2ND AVE,W 2ND AVE,W 2ND AVE,06:00-08:59,1,49.26923,-123.109427,1
TUESDAY,VANCOUVER,CASUALTY,ONTARIO ST,Yes,2015,TUESDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & ONTARIO ST & W 2ND AVE,E 2ND AVE,E 2ND AVE,06:00-08:59,1,49.269246,-123.104652,1
SATURDAY,BURNABY,CASUALTY,IMPERIAL ST,Yes,2017,SATURDAY,UNDETERMINED,N,Yes,N,JULY,N,BURNABY,BURNABY,BURNABY,No,No,LOWER MAINLAND,IMPERIAL ST & NELSON AVE,NELSON AVE,NELSON AVE,18:00-20:59,1,49.221948,-122.994179,1
FRIDAY,VANCOUVER,CASUALTY,NANAIMO ST,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE & NANAIMO ST,E 49TH AVE,E 49TH AVE,18:00-20:59,1,49.22504,-123.059158,1
WEDNESDAY,LANGLEY,CASUALTY,45A AVE,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,206 ST & 45A AVE,206 ST,206 ST,12:00-14:59,1,49.084733,-122.653159,1
SATURDAY,DELTA,CASUALTY,LADNER TRUNK RD,Yes,2019,SATURDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,DELTA,DELTA,DELTA,No,No,LOWER MAINLAND,HARVEST DR & LADNER TRUNK RD,HARVEST DR,HARVEST DR,12:00-14:59,1,49.090195,-123.062988,1
SATURDAY,CHILLIWACK,PROPERTY DAMAGE ONLY,COLUMBIA VALLEY RD,Yes,2017,SATURDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,CHILLIWACK,CHILLIWACK,CHILLIWACK,No,No,LOWER MAINLAND,CULTUS LAKE RD & VEDDER MOUNTAIN RD,VEDDER MOUNTAIN RD,VEDDER MOUNTAIN RD,12:00-14:59,1,49.095059,-121.972179,1
SATURDAY,ABBOTSFORD,PROPERTY DAMAGE ONLY,STRAITON RD,Yes,2015,SATURDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,No,No,LOWER MAINLAND,CLAYBURN RD & OLD CLAYBURN RD & STRAITON RD,CLAYBURN RD,CLAYBURN RD,09:00-11:59,1,49.082472,-122.25303,1
FRIDAY,LANGLEY,PROPERTY DAMAGE ONLY,NA,Yes,2017,FRIDAY,UNDETERMINED,N,No,Y,DECEMBER,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,LANGLEY BYPASS,LANGLEY BYPASS,LANGLEY BYPASS,12:00-14:59,1,49.111419,-122.64487,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,FIR ST,Yes,2015,THURSDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,FIR ST & W 4TH AVE,W 4TH AVE,W 4TH AVE,12:00-14:59,1,49.267924,-123.140873,1
TUESDAY,VANCOUVER,CASUALTY,ISLAND PARK WALK,Yes,2018,TUESDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ANDERSON ST & ISLAND PARK WALK,ANDERSON ST,ANDERSON ST,12:00-14:59,1,49.269983,-123.137079,1
MONDAY,VANCOUVER,CASUALTY,ONTARIO ST,Yes,2019,MONDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 3RD AVE & ONTARIO ST & W 3RD AVE,W 3RD AVE,W 3RD AVE,12:00-14:59,1,49.268301,-123.104686,1
TUESDAY,VANCOUVER,CASUALTY,BURRARD ST,Yes,2018,TUESDAY,UNDETERMINED,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & W 3RD AVE,W 3RD AVE,W 3RD AVE,15:00-17:59,1,49.2689,-123.145594,1
WEDNESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,E 2ND AVE,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CLARK DR & E 2ND AVE,CLARK DR,CLARK DR,06:00-08:59,1,49.268754,-123.077385,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,E 2ND AVE,Yes,2017,TUESDAY,UNDETERMINED,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & QUEBEC ST,QUEBEC ST,QUEBEC ST,06:00-08:59,1,49.269212,-123.102714,1
THURSDAY,VANCOUVER,CASUALTY,NA,Yes,2016,THURSDAY,SINGLE VEHICLE,N,No,Y,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,QUEBEC ST,QUEBEC ST,QUEBEC ST,09:00-11:59,1,49.271528000000004,-123.102196,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,QUEBEC ST,Yes,2018,THURSDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & QUEBEC ST,E 2ND AVE,E 2ND AVE,12:00-14:59,1,49.269212,-123.102714,1
THURSDAY,VANCOUVER,CASUALTY,W 3RD AVE,Yes,2019,THURSDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & W 3RD AVE,BURRARD ST,BURRARD ST,21:00-23:59,1,49.2689,-123.145594,1
WEDNESDAY,VANCOUVER,CASUALTY,FRASER ST,Yes,2016,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 51ST AVE & FRASER ST,E 51ST AVE,E 51ST AVE,15:00-17:59,1,49.223571,-123.090842,1
WEDNESDAY,VANCOUVER,CASUALTY,ONTARIO ST,Yes,2018,WEDNESDAY,HEAD ON,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 51ST AVE & ONTARIO ST,E 51ST AVE,E 51ST AVE,06:00-08:59,1,49.223809,-123.105957,1
TUESDAY,VANCOUVER,CASUALTY,QUEBEC ST,Yes,2019,TUESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 52ND AVE & QUEBEC ST,E 52ND AVE,E 52ND AVE,15:00-17:59,1,49.22291,-123.103889,1
FRIDAY,BURNABY,CASUALTY,MACPHERSON AVE,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,JANUARY,N,BURNABY,BURNABY,BURNABY,No,No,LOWER MAINLAND,KINGSWAY & MACPHERSON AVE,KINGSWAY,KINGSWAY,15:00-17:59,1,49.223125,-122.983089,1
SATURDAY,PITT MEADOWS,CASUALTY,HARRIS RD,Yes,2018,SATURDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,PITT MEADOWS,PITT MEADOWS,PITT MEADOWS,No,No,LOWER MAINLAND,FORD RD & HARRIS RD,FORD RD,FORD RD,12:00-14:59,1,49.222414,-122.689588,1
WEDNESDAY,MAPLE RIDGE,CASUALTY,NA,Yes,2019,WEDNESDAY,SINGLE VEHICLE,N,No,Y,APRIL,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,No,No,LOWER MAINLAND,121 AVE,121 AVE,121 AVE,18:00-20:59,1,49.222979,-122.625695,1
MONDAY,BURNABY,CASUALTY,WILLINGDON AVE,Yes,2018,MONDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,BURNABY,BURNABY,BURNABY,No,No,LOWER MAINLAND,MAYBERRY ST & WILLINGDON AVE,MAYBERRY ST,MAYBERRY ST,09:00-11:59,1,49.225546,-123.009822,1
TUESDAY,NEW WESTMINSTER,CASUALTY,SIMPSON ST,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,NEW WESTMINSTER,NEW WESTMINSTER,NEW WESTMINSTER,No,No,LOWER MAINLAND,E COLUMBIA ST & NELSONS CRT & SIMPSON ST,E COLUMBIA ST,E COLUMBIA ST,15:00-17:59,1,49.224615,-122.892913,1
WEDNESDAY,VANCOUVER,CASUALTY,KERR ST,Yes,2016,WEDNESDAY,UNDETERMINED,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE & KERR ST,E 49TH AVE,E 49TH AVE,06:00-08:59,1,49.224712,-123.041049,1
THURSDAY,PITT MEADOWS,CASUALTY,NA,Yes,2017,THURSDAY,SINGLE VEHICLE,N,No,N,FEBRUARY,N,PITT MEADOWS,PITT MEADOWS,PITT MEADOWS,No,No,LOWER MAINLAND,HARRIS RD,HARRIS RD,HARRIS RD,15:00-17:59,1,49.225127,-122.689512,1
WEDNESDAY,ABBOTSFORD,CASUALTY,MCKENZIE RD,Yes,2016,WEDNESDAY,UNDETERMINED,N,Yes,N,JULY,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,No,No,LOWER MAINLAND,MARSHALL RD & MCKENZIE RD,MARSHALL RD,MARSHALL RD,09:00-11:59,1,49.038552,-122.282282,1
SATURDAY,SOOKE,PROPERTY DAMAGE ONLY,STEEPLE CHASE,Yes,2016,SATURDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,SOOKE,SOOKE,SOOKE,No,No,VANCOUVER ISLAND,CHURCH HILL DR & STEEPLE CHASE,CHURCH HILL DR,CHURCH HILL DR,15:00-17:59,1,48.385826,-123.721087,1
TUESDAY,VANCOUVER,CASUALTY,ROSEMONT DR,Yes,2018,TUESDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KERR ST & ROSEMONT DR,KERR ST,KERR ST,06:00-08:59,1,49.215498,-123.041517,1
SATURDAY,SURREY,PROPERTY DAMAGE ONLY,KING GEORGE HWY,Yes,2019,SATURDAY,UNDETERMINED,N,Yes,N,AUGUST,N,SURREY,SURREY,SURREY,No,No,LOWER MAINLAND,24 AVE & KING GEORGE BLVD & TURNING LANE,24 AVE,24 AVE,00:00-02:59,1,49.045585,-122.793584,1
WEDNESDAY,SURREY,CASUALTY,77A AVE,Yes,2019,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,SURREY,SURREY,SURREY,No,No,LOWER MAINLAND,138 ST & 77A AVE,138 ST,138 ST,15:00-17:59,1,49.143616,-122.840089,1
SATURDAY,CHILLIWACK,CASUALTY,YALE RD,Yes,2017,SATURDAY,SINGLE VEHICLE,N,Yes,N,DECEMBER,N,CHILLIWACK,CHILLIWACK,CHILLIWACK,No,No,LOWER MAINLAND,EVANS RD & YALE RD,EVANS RD,EVANS RD,18:00-20:59,1,49.145179,-121.977627,1
FRIDAY,VICTORIA,CASUALTY,NA,Yes,2016,FRIDAY,SINGLE VEHICLE,N,No,N,SEPTEMBER,N,VICTORIA,VICTORIA,NA,No,No,VANCOUVER ISLAND,GOLDSTREAM,GOLDSTREAM,GOLDSTREAM,18:00-20:59,1,NA,NA,1
FRIDAY,BURNS LAKE,PROPERTY DAMAGE ONLY,NA,Yes,2019,FRIDAY,SINGLE VEHICLE,N,No,N,AUGUST,N,BURNS LAKE,BURNS LAKE,NA,No,No,NORTH CENTRAL,HWY 16,HWY 16,HWY 16,12:00-14:59,1,NA,NA,1
MONDAY,VANCOUVER,CASUALTY,W 4TH AVE,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ALMA ST & W 4TH AVE,ALMA ST,ALMA ST,15:00-17:59,1,49.268607,-123.185686,1
TUESDAY,VANCOUVER,CASUALTY,MAIN ST,Yes,2017,TUESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 3RD AVE & MAIN ST,E 3RD AVE,E 3RD AVE,09:00-11:59,1,49.268228,-123.100739,1
MONDAY,VANCOUVER,CASUALTY,MACDONALD ST,Yes,2019,MONDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MACDONALD ST & W 4TH AVE,W 4TH AVE,W 4TH AVE,18:00-20:59,1,49.26838,-123.168279,1
TUESDAY,VANCOUVER,CASUALTY,MAPLE ST,Yes,2017,TUESDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MAPLE ST & W 3RD AVE,W 3RD AVE,W 3RD AVE,12:00-14:59,1,49.268989,-123.150354,1
FRIDAY,VANCOUVER,CASUALTY,W 3RD AVE,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 3RD AVE & ONTARIO ST & W 3RD AVE,ONTARIO ST,ONTARIO ST,15:00-17:59,1,49.268301,-123.104686,1
SATURDAY,VANCOUVER,CASUALTY,MACDONALD ST,Yes,2016,SATURDAY,SINGLE VEHICLE,N,Yes,N,FEBRUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MACDONALD ST & W 4TH AVE,W 4TH AVE,W 4TH AVE,09:00-11:59,1,49.26838,-123.168279,1
