Crash Breakdown,Crash Breakdown 2,Crash Severity,Cross Street Full Name,Cyclist Flag,Date Of Loss Year,Day Of Week,Derived Crash Congifuration,Heavy Veh Flag,Intersection Crash,Mid Block Crash,Month Of Year,Motorcycle Flag,Municipality Name,Municipality Name (ifnull),Municipality With Boundary,Parking Lot Flag,Pedestrian Flag,Region,Road Location Description,Street Full Name,Street Full Name (ifnull),Time Category,Crash Count,Latitude,Longitude,Number of Records
SATURDAY,VANCOUVER,CASUALTY,MACDONALD ST,Yes,2016,SATURDAY,SINGLE VEHICLE,N,Yes,N,FEBRUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MACDONALD ST & W 4TH AVE,W 4TH AVE,W 4TH AVE,09:00-11:59,1,49.26838,-123.168279,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,MAIN ST,Yes,2018,THURSDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & MAIN ST,E 2ND AVE,E 2ND AVE,15:00-17:59,1,49.269078,-123.100707,1
WEDNESDAY,VANCOUVER,CASUALTY,BURRARD ST,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & W 3RD AVE,W 3RD AVE,W 3RD AVE,18:00-20:59,1,49.2689,-123.145594,1
WEDNESDAY,VANCOUVER,CASUALTY,MAIN ST,Yes,2018,WEDNESDAY,UNDETERMINED,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & MAIN ST,E 2ND AVE,E 2ND AVE,18:00-20:59,1,49.269078,-123.100707,1
WEDNESDAY,VANCOUVER,CASUALTY,COLUMBIA ST,Yes,2019,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 2ND AVE,W 2ND AVE,W 2ND AVE,06:00-08:59,1,49.26923,-123.109427,1
SATURDAY,VANCOUVER,CASUALTY,LORNE ST,Yes,2018,SATURDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 1ST AVE & LORNE ST,E 1ST AVE,E 1ST AVE,00:00-02:59,1,49.269214,-123.098838,1
SATURDAY,VANCOUVER,CASUALTY,E 1ST AVE,Yes,2016,SATURDAY,UNDETERMINED,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 1ST AVE & RUPERT ST & ACCESS ROAD,RUPERT ST,RUPERT ST,03:00-05:59,1,49.26945,-123.03369000000001,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,WYLIE ST,Yes,2015,TUESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,W 2ND AVE & W 4TH AVE & WYLIE ST,W 2ND AVE,W 2ND AVE,06:00-08:59,1,49.267507,-123.113031,1
TUESDAY,VANCOUVER,CASUALTY,E 2ND AVE,Yes,2018,TUESDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & SCOTIA ST,SCOTIA ST,SCOTIA ST,12:00-14:59,1,49.267737,-123.098202,1
TUESDAY,VANCOUVER,CASUALTY,COLUMBIA ST,Yes,2015,TUESDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 2ND AVE,W 2ND AVE,W 2ND AVE,06:00-08:59,1,49.26923,-123.109427,1
TUESDAY,VANCOUVER,CASUALTY,MAIN ST,Yes,2016,TUESDAY,UNDETERMINED,N,Yes,N,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,INDUSTRIAL AVE & MAIN ST,INDUSTRIAL AVE,INDUSTRIAL AVE,15:00-17:59,1,49.270507,-123.100591,1
SUNDAY,VANCOUVER,CASUALTY,W 1ST AVE,Yes,2017,SUNDAY,UNDETERMINED,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ARBUTUS ST & W 1ST AVE,ARBUTUS ST,ARBUTUS ST,15:00-17:59,1,49.270783,-123.152669,1
SATURDAY,VANCOUVER,CASUALTY,NA,Yes,2015,SATURDAY,SINGLE VEHICLE,N,No,N,NOVEMBER,N,VANCOUVER,VANCOUVER,NA,No,No,LOWER MAINLAND,MARINE WAY,MARINE WAY,MARINE WAY,18:00-20:59,1,NA,NA,1
SATURDAY,VANCOUVER,CASUALTY,E 51ST AVE,Yes,2018,SATURDAY,SINGLE VEHICLE,N,Yes,N,DECEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 51ST AVE & ONTARIO ST,ONTARIO ST,ONTARIO ST,12:00-14:59,1,49.223809,-123.105957,1
MONDAY,VANCOUVER,CASUALTY,PRINCE ALBERT ST,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE & PRINCE ALBERT ST,E 49TH AVE,E 49TH AVE,06:00-08:59,1,49.225419,-123.088019,1
SUNDAY,VANCOUVER,PROPERTY DAMAGE ONLY,SW MARINE DR,Yes,2015,SUNDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MARINE CRES & SW MARINE DR,MARINE CRES,MARINE CRES,09:00-11:59,1,49.224215,-123.163984,1
SATURDAY,VANCOUVER,CASUALTY,QUEBEC ST,Yes,2018,SATURDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 51ST AVE & QUEBEC ST,E 51ST AVE,E 51ST AVE,15:00-17:59,1,49.223785,-123.103862,1
TUESDAY,VANCOUVER,CASUALTY,NA,Yes,2017,TUESDAY,SINGLE VEHICLE,N,No,N,MAY,N,VANCOUVER,VANCOUVER,NA,Yes,No,LOWER MAINLAND,EAST HASTINGS,EAST HASTINGS,EAST HASTINGS,09:00-11:59,1,NA,NA,1
SATURDAY,VANCOUVER,CASUALTY,ABBOTT ST,Yes,2018,SATURDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ABBOTT ST & EXPO BLVD & PAT QUINN WAY,EXPO BLVD,EXPO BLVD,18:00-20:59,1,49.278645,-123.107641,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,CARRALL ST,Yes,2017,THURSDAY,UNDETERMINED,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CARRALL ST & EXPO BLVD,EXPO BLVD,EXPO BLVD,15:00-17:59,1,49.278046,-123.106155,1
FRIDAY,VANCOUVER,CASUALTY,GORE AVE,Yes,2015,FRIDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E GEORGIA ST & GORE AVE,E GEORGIA ST,E GEORGIA ST,09:00-11:59,1,49.278531,-123.097066,1
SUNDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2018,SUNDAY,SINGLE VEHICLE,N,No,N,OCTOBER,N,VANCOUVER,VANCOUVER,NA,No,No,LOWER MAINLAND,STANLEY PARK DR,STANLEY PARK DR,STANLEY PARK DR,12:00-14:59,1,NA,NA,1
THURSDAY,VANCOUVER,CASUALTY,NA,Yes,2016,THURSDAY,SINGLE VEHICLE,N,No,N,MAY,N,VANCOUVER,VANCOUVER,NA,No,No,LOWER MAINLAND,PANDORA ST,PANDORA ST,PANDORA ST,09:00-11:59,1,NA,NA,1
FRIDAY,VANCOUVER,CASUALTY,NA,Yes,2018,FRIDAY,SINGLE VEHICLE,N,No,N,JUNE,N,VANCOUVER,VANCOUVER,NA,No,No,LOWER MAINLAND,PARK DR,PARK DR,PARK DR,15:00-17:59,1,NA,NA,1
WEDNESDAY,VANCOUVER,CASUALTY,COMMERCIAL DR,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & COMMERCIAL DR,ADANAC ST,ADANAC ST,15:00-17:59,1,49.27757,-123.070476,1
THURSDAY,VANCOUVER,CASUALTY,COMMERCIAL DR,Yes,2016,THURSDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ADANAC ST & COMMERCIAL DR,ADANAC ST,ADANAC ST,09:00-11:59,1,49.27757,-123.070476,1
WEDNESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,CARRALL ST,Yes,2019,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CARRALL ST & EXPO BLVD,EXPO BLVD,EXPO BLVD,09:00-11:59,1,49.278046,-123.106155,1
FRIDAY,VANCOUVER,CASUALTY,DAVIE ST,Yes,2016,FRIDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DAVIE ST & HORNBY ST,HORNBY ST,HORNBY ST,06:00-08:59,1,49.278405,-123.128134,1
FRIDAY,VANCOUVER,CASUALTY,EXPO BLVD,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ABBOTT ST & EXPO BLVD & PAT QUINN WAY,ABBOTT ST,ABBOTT ST,18:00-20:59,1,49.278645,-123.107641,1
WEDNESDAY,VANCOUVER,CASUALTY,W 60TH AVE,Yes,2019,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HEATHER ST & W 60TH AVE,HEATHER ST,HEATHER ST,15:00-17:59,1,49.216061,-123.123915,1
TUESDAY,VANCOUVER,CASUALTY,ONTARIO ST,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 59TH AVE & ONTARIO ST & W 59TH AVE,W 59TH AVE,W 59TH AVE,18:00-20:59,1,49.216818,-123.106223,1
SATURDAY,VANCOUVER,CASUALTY,BLENHEIM ST,Yes,2016,SATURDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BLENHEIM ST & W 30TH AVE,W 30TH AVE,W 30TH AVE,00:00-02:59,1,49.245192,-123.178609,1
MONDAY,VANCOUVER,CASUALTY,WALLACE ST,Yes,2015,MONDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,W 29TH AVE & WALLACE ST,W 29TH AVE,W 29TH AVE,09:00-11:59,1,49.246186,-123.190894,1
TUESDAY,VANCOUVER,CASUALTY,NOOTKA ST,Yes,2017,TUESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BOYD DIVERSION & NOOTKA ST,BOYD DIVERS,BOYD DIVERS,15:00-17:59,1,49.249183,-123.04178,1
WEDNESDAY,VANCOUVER,CASUALTY,CAMBIE ST,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CAMBIE ST & W 29TH AVE,W 29TH AVE,W 29TH AVE,15:00-17:59,1,49.245163,-123.115602,1
SATURDAY,VANCOUVER,CASUALTY,E 29TH AVE,Yes,2017,SATURDAY,SINGLE VEHICLE,N,Yes,N,DECEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BOUNDARY RD & E 29TH AVE,BOUNDARY RD,BOUNDARY RD,06:00-08:59,1,49.245123,-123.02379,1
SATURDAY,VANCOUVER,PROPERTY DAMAGE ONLY,E 29TH AVE,Yes,2017,SATURDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BOUNDARY RD & E 29TH AVE,BOUNDARY RD,BOUNDARY RD,15:00-17:59,1,49.245123,-123.02379,1
SUNDAY,VANCOUVER,CASUALTY,COMMERCIAL ST,Yes,2018,SUNDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,Y,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COMMERCIAL ST & KINGSWAY,KINGSWAY,KINGSWAY,12:00-14:59,1,49.246389,-123.067834,1
THURSDAY,VANCOUVER,CASUALTY,DUNBAR ST,Yes,2015,THURSDAY,UNDETERMINED,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,DUNBAR ST & W 28TH AVE,W 28TH AVE,W 28TH AVE,15:00-17:59,1,49.247125,-123.185261,1
WEDNESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,VICTORIA DR,Yes,2015,WEDNESDAY,CONFLICTED,N,Yes,N,DECEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KINGSWAY & VICTORIA DR,KINGSWAY,KINGSWAY,21:00-23:59,1,49.245143,-123.065173,1
